TimeStamp,Toolcode Execution Time,Pos X(inch),Pos Y(inch),Pos Z(inch),Velocity X,Velocity Y,Velocity Z,Pos Alps(inch),Alps Spot Size(inch),PF4 RPM,PF4 RPM Setpoint,PF4 Argon MFlow,Center Purge Argon MFlow,PF4 Argon VFlow,Center Purge Argon VFlow,PF4 Argon Temp(°F),Center Purge Argon Temp(°F),PF4 Argon Absolute Pressure,Center Purge Argon Absolute Pressure,H2O Sensor,O2 Sensor,Head Temperature (RTD 1)(°F),PF4 Top Pressure,PF4 Bottom Pressure,Laser On,Laser Setpoint,Laser Power (from laser),Laser Water Flow (L/min),Laser Water Temp (°C),DI Water Temp (°C),Laser On Time (ms),Feed Fiber FFBD (mV),Process Fiber FFBD (mV),Power From Meter,Beam Size From Meter (inch),Beam Pos X From Meter (inch),Beam Pos Y From Meter (inch),Power From Meter (uncompensated),Beam Flags From Meter,Camera Temp(°F),Melt Pool Area,Melt Pool Area: Valid Value,Layer #,Events,TimeStamp_Original
2026-05-15 11:54:36+00:00,0.0,-0.669,-0.669,0.0,0.0,0.0,0.0,2.118,0.07,5.001,5.0,10.002,40.0,7.784,36.68,87.24,83.34,19.24,16.21,-46.55,23.1,83.8,3.294,3.283,0.0,1070.0,0.0,30.5,20.5,28.5,0.0,0.0,0.0,0.05,0.0,-0.0721,-0.3163,0.05,3220000000.0,98.4,0.0,0.0,0.0,,11:54.6
2026-05-15 11:55:36+00:00,1.0,-0.669,-0.634,0.0,0.0,30.0,0.0,2.118,0.07,8.257,8.25,10.004,40.0,7.775,36.69,87.24,83.34,19.27,16.21,-46.55,23.1,83.8,3.33,3.311,0.0,1070.0,0.0,30.6,20.5,28.5,0.0,0.0,0.0,0.05,0.0,-0.0939,-0.2933,0.05,3220000000.0,98.4,0.0,0.0,0.0,,11:55.6
2026-05-15 11:56:36+00:00,2.0,-0.669,-0.134,0.0,0.0,30.0,0.0,2.118,0.07,8.247,8.25,10.002,40.0,7.755,36.69,87.24,83.34,19.31,16.21,-46.55,23.1,83.8,3.366,3.347,1.0,1070.0,1063.0,30.6,20.5,28.5,1015.0,227.0,209.0,0.854,0.0,-0.0835,-0.1673,0.86,2680000000.0,98.4,834.0,0.0,0.0,,11:56.6
2026-05-15 11:57:36+00:00,3.0,-0.669,0.366,0.0,0.0,30.0,0.0,2.118,0.07,8.252,8.25,10.0,40.0,7.734,36.69,87.24,83.34,19.36,16.21,-46.55,23.1,83.8,3.431,3.423,1.0,1070.0,1063.0,30.5,20.5,28.5,1876.0,225.0,208.0,1.45,0.0,-0.0673,-0.1092,1.46,2680000000.0,98.4,909.0,0.0,0.0,,11:57.6
2026-05-15 11:58:36+00:00,4.0,-0.478,0.669,0.0,30.0,0.0,0.0,2.118,0.07,8.247,8.25,10.002,40.0,7.719,36.68,87.24,83.34,19.41,16.21,-46.55,23.1,83.8,3.479,3.459,1.0,1070.0,1064.0,30.5,20.6,28.5,3033.0,219.0,208.0,1.479,0.0,-0.0587,-0.0939,1.49,3220000000.0,98.4,1076.0,1.0,0.0,,11:58.6
2026-05-15 11:59:36+00:00,5.0,0.022,0.669,0.0,30.0,0.0,0.0,2.118,0.07,8.251,8.25,9.996,40.0,7.705,36.68,87.24,83.32,19.42,16.21,-46.55,23.1,83.8,3.507,3.49,1.0,1070.0,1064.0,30.5,20.6,28.5,3819.0,220.0,208.0,1.489,0.0,-0.0544,-0.0891,1.5,3220000000.0,98.4,949.0,1.0,0.0,,11:59.6
2026-05-15 12:00:36+00:00,6.0,0.547,0.669,0.0,30.0,0.0,0.0,2.118,0.07,8.239,8.25,10.001,40.0,7.695,36.68,87.24,83.32,19.46,16.21,-46.55,23.1,83.8,3.539,3.523,1.0,1070.0,1064.0,30.5,20.6,28.5,5056.0,227.0,216.0,1.499,0.0,-0.0547,-0.0834,1.51,3220000000.0,98.4,950.0,1.0,0.0,,12:00.6
2026-05-15 12:01:36+00:00,7.0,0.669,0.297,0.0,0.0,-30.0,0.0,2.118,0.07,8.256,8.25,9.998,40.0,7.68,36.68,87.24,83.32,19.49,16.21,-46.56,23.1,83.8,3.562,3.559,1.0,1070.0,1064.0,30.5,20.6,28.5,5834.0,220.0,207.0,1.499,0.0,-0.0531,-0.0815,1.51,3220000000.0,98.2,935.0,1.0,0.0,,12:01.6
2026-05-15 12:02:42+00:00,8.0,0.669,-0.203,0.0,0.0,-30.0,0.0,2.118,0.07,8.243,8.25,9.999,40.0,7.671,36.68,87.24,83.32,19.52,16.21,-46.56,23.1,83.8,3.617,3.571,1.0,1070.0,1065.0,30.5,20.6,28.5,7014.0,223.0,208.0,1.489,0.0,-0.0532,-0.0802,1.5,3220000000.0,98.2,812.0,1.0,0.0,,12:02.7
2026-05-15 12:03:42+00:00,9.0,0.64,-0.669,0.0,-30.0,0.0,0.0,2.118,0.07,8.254,8.25,9.997,40.0,7.662,36.68,87.24,83.32,19.54,16.21,-46.56,23.1,83.8,3.639,3.621,1.0,1070.0,1065.0,30.5,20.6,28.5,7884.0,222.0,207.0,1.489,0.0,-0.0526,-0.0799,1.5,3220000000.0,98.2,1321.0,1.0,0.0,,12:03.7
